round_id,hand_number,player_cards,dealer_cards,actions,bet_amount,final_result,blackjack,busted,strategy_used,bet_mode,true_count_prev_round,running_count_end,true_count_end,cards_remaining,decks_remaining
1,1,"4,7,10","A,J","double,stand",20.0,push,False,False,random-dfs,fixed,0.0,-2.0,-0.006,308,5.923
1,1,"4,7,10","A,J","hit,stand",10.0,push,False,False,random-dfs,fixed,0.0,-2.0,-0.006,308,5.923
1,1,"4,7","A,J",stand,10.0,lose,False,False,random-dfs,fixed,0.0,-1.0,-0.003,308,5.923
2,1,"10,10,K","3,A,8,9","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.169,-3.0,-0.01,304,5.846
2,1,"10,10,K","3,A,8,9",hit,10.0,lose,False,True,random-dfs,fixed,-0.169,-3.0,-0.01,304,5.846
2,1,"10,10","3,A,K,8",stand,10.0,win,False,False,random-dfs,fixed,-0.169,-3.0,-0.01,304,5.846
3,1,"K,8,J","9,4,3,4",hit,10.0,lose,False,True,random-dfs,fixed,-0.513,1.0,0.003,300,5.769
3,1,"K,8","9,4,J",stand,10.0,win,False,False,random-dfs,fixed,-0.513,-1.0,-0.003,300,5.769
3,1,"K,8,J","9,4,3,4","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.513,1.0,0.003,300,5.769
4,1,"J,3","4,7,4,9",stand,10.0,win,False,False,random-dfs,fixed,-0.52,2.0,0.006,296,5.692
4,1,"J,3,4","4,7,9","double,stand",20.0,lose,False,False,random-dfs,fixed,-0.52,2.0,0.006,296,5.692
4,1,"J,3,4,9","4,7,4,2","hit,hit",10.0,lose,False,True,random-dfs,fixed,-0.52,4.0,0.013,296,5.692
4,1,"J,3,4","4,7,9","hit,stand",10.0,lose,False,False,random-dfs,fixed,-0.52,2.0,0.006,296,5.692
5,1,"4,9","4,2,8,8",stand,10.0,win,False,False,random-dfs,fixed,-0.351,3.0,0.01,292,5.615
5,1,"4,9,8","4,2,8,8","double,stand",20.0,win,False,False,random-dfs,fixed,-0.351,3.0,0.01,292,5.615
5,1,"4,9,8","4,2,8,8","hit,stand",10.0,win,False,False,random-dfs,fixed,-0.351,3.0,0.01,292,5.615
6,1,"8,8,6","8,2,Q","double,stand",20.0,lose,False,True,random-dfs,fixed,0.178,1.0,0.003,288,5.538
6,1,"8,8,6","8,2,Q",hit,10.0,lose,False,True,random-dfs,fixed,0.178,1.0,0.003,288,5.538
6,1,"8,8","8,2,6,Q",stand,10.0,win,False,False,random-dfs,fixed,0.178,1.0,0.003,288,5.538
7,1,"6,Q","2,Q,6",stand,10.0,lose,False,False,random-dfs,fixed,0.361,1.0,0.003,284,5.462
7,1,"6,Q,6","2,Q,7","double,stand",20.0,lose,False,True,random-dfs,fixed,0.361,1.0,0.003,284,5.462
7,1,"6,Q,6","2,Q,7",hit,10.0,lose,False,True,random-dfs,fixed,0.361,1.0,0.003,284,5.462
8,1,"6,7","8,9",stand,10.0,lose,False,False,random-dfs,fixed,0.366,1.0,0.003,280,5.385
8,1,"6,7,2","8,9","double,stand",20.0,lose,False,False,random-dfs,fixed,0.366,2.0,0.006,280,5.385
8,1,"6,7,2","8,9","hit,stand",10.0,lose,False,False,random-dfs,fixed,0.366,2.0,0.006,280,5.385
8,1,"6,7,2,3,J","8,9","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,0.366,2.0,0.006,280,5.385
8,1,"6,7,2,3","8,9","hit,hit,stand",10.0,win,False,False,random-dfs,fixed,0.366,3.0,0.01,280,5.385
9,1,"2,3","J,10",stand,10.0,lose,False,False,random-dfs,fixed,0.557,0.0,0.0,276,5.308
9,1,"2,3,J","J,10","double,stand",20.0,lose,False,False,random-dfs,fixed,0.557,-1.0,-0.003,276,5.308
9,1,"2,3,J,4","J,10","hit,hit,stand",10.0,lose,False,False,random-dfs,fixed,0.557,0.0,0.0,276,5.308
9,1,"2,3,J,4,8","J,10","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,0.557,0.0,0.0,276,5.308
9,1,"2,3,J","J,10","hit,stand",10.0,lose,False,False,random-dfs,fixed,0.557,-1.0,-0.003,276,5.308
10,1,"J,4","8,5,2,Q",stand,10.0,win,False,False,random-dfs,fixed,0.565,1.0,0.003,272,5.231
10,1,"J,4,2","8,5,Q","hit,stand",10.0,win,False,False,random-dfs,fixed,0.565,1.0,0.003,272,5.231
10,1,"J,4,2,Q","8,5,4","hit,hit",10.0,lose,False,True,random-dfs,fixed,0.565,2.0,0.006,272,5.231
